iter	Passed	Remaining
405	7775	20952
406	7795	20934
407	7815	20917
408	7835	20900
409	7855	20883
410	7874	20865
411	7894	20847
412	7914	20829
413	7933	20811
414	7953	20793
415	7972	20775
416	7993	20759
417	8013	20742
418	8032	20723
419	8040	20675
420	8058	20654
421	8078	20635
422	8098	20618
423	8118	20603
424	8138	20586
425	8157	20566
426	8176	20547
427	8196	20530
428	8217	20515
429	8237	20498
430	8258	20482
431	8278	20465
432	8299	20451
433	8319	20434
434	8340	20419
435	8360	20402
436	8379	20384
437	8400	20367
438	8420	20351
439	8440	20334
440	8460	20315
441	8479	20296
442	8499	20279
443	8509	20239
444	8532	20227
445	8552	20210
446	8572	20195
447	8592	20178
448	8612	20160
449	8632	20141
450	8651	20122
451	8670	20103
452	8689	20083
453	8709	20067
454	8729	20049
455	8748	20029
456	8768	20012
457	8789	19997
458	8809	19980
459	8830	19964
460	8850	19946
461	8870	19929
462	8890	19911
463	8909	19892
464	8928	19874
465	8948	19855
466	8968	19838
467	8988	19819
468	9008	19803
469	9027	19784
470	9047	19766
471	9067	19748
472	9087	19732
473	9106	19711
474	9126	19693
475	9145	19675
476	9165	19656
477	9187	19644
478	9207	19625
479	9226	19606
480	9246	19589
481	9264	19567
482	9285	19550
483	9305	19533
484	9325	19516
485	9345	19498
486	9365	19482
487	9385	19464
488	9406	19447
489	9426	19430
490	9446	19411
491	9465	19392
492	9486	19377
493	9510	19367
494	9531	19351
495	9550	19331
496	9569	19313
497	9589	19294
498	9609	19277
499	9629	19259
500	9650	19242
501	9669	19222
502	9690	19206
503	9710	19190
504	9729	19170
505	9748	19151
506	9770	19135
507	9790	19117
508	9809	19098
509	9829	19079
510	9849	19063
511	9869	19045
512	9889	19027
513	9909	19009
514	9929	18991
515	9949	18973
516	9968	18954
517	9990	18939
518	10010	18921
519	10034	18911
520	10053	18892
521	10073	18874
522	10093	18855
523	10113	18837
524	10132	18816
525	10151	18797
526	10171	18779
527	10190	18759
528	10208	18738
529	10228	18719
530	10249	18703
531	10268	18683
532	10288	18665
533	10308	18647
534	10328	18629
535	10347	18609
536	10364	18586
537	10383	18566
538	10416	18572
539	10435	18552
540	10454	18532
541	10475	18515
542	10496	18498
543	10518	18483
544	10536	18462
545	10555	18443
546	10575	18424
547	10594	18405
548	10614	18387
549	10633	18367
550	10653	18348
551	10672	18329
552	10692	18311
553	10712	18292
554	10731	18272
555	10751	18254
556	10771	18236
557	10791	18217
558	10811	18198
559	10831	18180
560	10850	18161
561	10871	18144
562	10891	18126
563	10911	18108
564	10932	18092
565	10952	18073
566	10971	18054
567	10991	18034
568	11011	18016
569	11031	17999
570	11051	17980
571	11071	17961
572	11091	17943
573	11111	17925
574	11129	17904
575	11148	17884
576	11168	17866
577	11190	17850
578	11209	17830
579	11228	17811
580	11248	17792
581	11268	17773
582	11288	17755
583	11307	17735
584	11328	17719
585	11349	17701
586	11369	17683
587	11388	17663
588	11408	17644
589	11428	17627
590	11448	17608
591	11468	17590
592	11488	17571
593	11512	17559
594	11531	17539
595	11550	17519
596	11569	17499
597	11589	17480
598	11608	17461
599	11627	17441
600	11648	17423
601	11667	17404
602	11686	17383
603	11705	17364
604	11725	17346
605	11745	17327
606	11765	17309
607	11785	17290
608	11806	17274
609	11826	17255
610	11846	17236
611	11867	17218
612	11886	17198
613	11907	17181
614	11927	17164
615	11946	17143
616	11966	17125
617	11986	17107
618	12005	17087
619	12025	17068
620	12045	17049
621	12064	17030
622	12084	17011
623	12096	16982
624	12115	16961
625	12135	16943
626	12155	16924
627	12174	16904
628	12194	16886
629	12214	16867
630	12234	16848
631	12253	16828
632	12275	16813
633	12294	16793
634	12314	16774
635	12333	16755
636	12352	16734
637	12371	16714
638	12390	16695
639	12410	16676
640	12431	16658
641	12451	16640
642	12472	16623
643	12497	16611
644	12512	16585
645	12530	16565
646	12549	16545
647	12568	16525
648	12588	16506
649	12607	16487
650	12629	16470
651	12649	16451
652	12669	16433
653	12689	16415
654	12709	16396
655	12730	16378
656	12750	16359
657	12770	16341
658	12781	16311
659	12800	16291
660	12820	16273
661	12840	16254
662	12861	16237
663	12881	16217
664	12901	16199
665	12923	16182
666	12943	16164
667	12962	16144
668	12981	16124
669	13000	16104
670	13020	16087
671	13040	16067
672	13059	16048
673	13079	16028
674	13089	15997
675	13110	15980
676	13129	15960
677	13149	15941
678	13169	15923
679	13188	15904
680	13208	15885
681	13228	15865
682	13247	15846
683	13267	15828
684	13287	15809
685	13298	15779
686	13316	15759
687	13336	15740
688	13356	15721
689	13376	15702
690	13395	15683
691	13415	15664
692	13435	15645
693	13454	15626
694	13477	15611
695	13500	15595
696	13521	15577
697	13542	15560
698	13564	15543
699	13584	15525
700	13604	15505
701	13623	15486
702	13642	15466
703	13662	15448
704	13683	15430
705	13704	15412
706	13725	15394
707	13745	15376
708	13757	15348
709	13777	15329
710	13798	15311
711	13817	15292
712	13837	15273
713	13857	15254
714	13876	15234
715	13896	15216
716	13915	15196
717	13936	15178
718	13955	15159
719	13977	15142
720	13997	15123
721	14016	15104
722	14036	15084
723	14056	15066
724	14076	15047
725	14096	15028
726	14116	15009
727	14135	14990
728	14155	14970
729	14175	14952
730	14195	14933
731	14214	14913
732	14234	14894
733	14254	14875
734	14273	14856
735	14293	14837
736	14313	14818
737	14333	14799
738	14354	14782
739	14374	14763
740	14393	14743
741	14415	14726
742	14434	14706
743	14454	14687
744	14479	14673
745	14499	14654
746	14518	14635
747	14539	14617
748	14560	14599
749	14580	14580
750	14600	14562
751	14620	14542
752	14639	14522
753	14659	14503
754	14678	14484
755	14698	14464
756	14717	14445
757	14738	14427
758	14758	14408
759	14777	14389
760	14796	14368
761	14817	14350
762	14837	14331
763	14856	14312
764	14876	14293
765	14896	14274
766	14915	14254
767	14934	14234
768	14953	14214
